Id,Category,Tweet
638551243653165056,neutral,"Apple hasn't ever focused on gaming, but has enjoyed incredible success with iOS gaming. Apple TV may focus on games: http://t.co/Qn3wgy1KU7"
638589551997513728,neutral,@TimRaphael215 may want to pick your brains - looking to get into iOS dev myself.
638614098482065410,positive,The Orks are here to tell you that we're gunning for a Sept 30th release of Herald of Oblivion on iOS and Android! http://t.co/ZwGO1iDqo0
638703996379746304,neutral,"@deba1602 3rd party app on iOS, Does it add a keyboard or you have to type -&gt; copy -&gt; paste ? @debabrata2008"
638776033215447040,neutral,M/T Webroot: Have a jailbroken iOS device? You may want to reconsider. http://t.co/2QFA6jFLNf
638828126097682432,neutral,"@icj_ i have the Ipod Touch 5th and i have the IOS 8.4.1,ofc i cant downgrade because 8.4 is not being signded,so now what i supposed to do?"
638857391686184961,positive,"@arekdreyer Making my way through your Managing iOS and Macs 2nd Ed. book. Great read, really well done! Thanks for doing this; keep it up."
638886628602155008,neutral,"Google's Android Wear for iOS confirmed incompatible with Apple's HealthKit: In announcing Android Wear for iOS on Monday, Google not..."
638927700648964096,neutral,@LeeQVC Hi Lee my iPhone is currently operating on IOS 6do I have to put IOS7 1st or can upload IOS8 if so how do I go about it ?
638945625548173312,positive,wed night 7pm pacific join the The BLAST! live right here on FB as we have the founder's of the IOS app Kander on... http://t.co/XgeUKCqd6f
639001381655982080,positive,codigames:Do you like ARPGs?Dungeon Legends arrive to iOS on September 3rd http://t.co/17VP9iXAxj #gamedev #iphone http://t.co/vGQF11yE2H
639016946541850624,neutral,Jailbreaking iOS Devices May Not Be The Best Idea: Security vulnerabilities in the iOS can rarely be... http://t.co/yAATcrXOrU #security
639071474754711552,positive,"Come and have the FIRST EVER GO on Lumino City on iOS @SomersetHouse @nowplaythese + real models, Friday til Sunday! http://t.co/GXdkU8COnj"
639085295351132161,neutral,Rumor has it that a certain app is available on iOS and it's FREE.  Android coming Friday. http://t.co/JXNaqgUWaz
639115503492038656,neutral,@steveballin So far we've announced iOS and Android versions and we focus on them. This may change in the future though.
639117172204138496,neutral,"@MyersNFL May favorite one EVER on iOS is Harbaugh, it autocorrects to Garbage"
639217575298248704,neutral,@MKBHD do u know if the moto360 2nd gen will work with iOS devices??
639289589396541440,positive,Not Available
639456517008326656,positive,My best guess is we should see MCPE0.12.0 submitted to IOS and Google by the end of week or into Monday if the devs have cleaned up the bugs
639485295218585600,positive,The next Pixel Dungeon update for Steam and iOS with a lot of new features and improvements will be released on September 4th.
639542718117490688,neutral,Thursday Night on KXLU! Get the @KXLU889 app for IOS or Android at http://t.co/hDxy5DKgp7 and LISTEN! http://t.co/bjODczV0MF
639586654492205056,neutral,Not Available
639731200492482560,neutral,Been using Vodafone's smart ultra 6 since Tuesday. Can't get the hang of it and finding a few faults with android. Back to IOS I think...
639806019665793024,neutral,"Meet your new (old) favorite endless runner for iOS, Race the Sun - Macworld http://t.co/or8gZl9CsG"
639825263187128320,positive,"Are you ready for our new 2048 app launch tomorrow? Build binaries for IOS, Android, Windows Phones and Tablets.... http://t.co/pmCGUUu6cL"
639886266843164672,neutral,@flyshorts BTW I &amp; others have run into a fair number of cataloguing issues with the Apple Music update in iOS 8.4. This may be a symptom.
639899879955935232,positive,This hopefully means that MCPE will come out for IOS around the 8th of September along with all other versions!
640017715894206464,positive,What you should look for from Apple's September 9 event: A new version of iOS will likely arrive with those sh... http://t.co/TcdFrMhODo
640163020539203584,neutral,Want to speed up your sharing? Automate a few things from your iOS device? Workflow may be the solution. http://t.co/cVkMkRCeDq
640184988172963840,positive,@RobloxLeaksFTW thank you now I may actually have a chance on ios now
640305299270799364,positive,articlesection classpagepAndroid Wear may be very close to working with iOS
640324452731875328,positive,Not Available
640329967826440192,positive,Not Available
640350165879144448,positive,@_tomcc Hey Tommaso when is the release date for 0.12 on iOS? If the answer is around the 8th thats where my school starts!
640506480488153088,positive,Not Available
640515279873830912,positive,1 DAY.#CrowdViz releases on Labor Day September 7th! An IOS app that unites blind people with sighted assistants. http://t.co/fNXqXa685P
640604280706076672,positive,WHO CANT WAIT FOR MINECRAFT 0.12 ON IOS BUT NOW U DONT HAVE TO WAIT CAUSE IT WILL BE SUBMITTED AT 8th september 1 day left
640640481714638848,neutral,It's quite funny to see iOS developers taking advantage of the new Ugmonk 6th Anniversary set!
640719733940191233,negative,Not Available
640862561236185090,positive,"@KymLang links are working fine on my IOS device. Some times on the first click I get a ""open in safari ?"" Cancel it &amp; do a 2nd click. Works"
640985843851767808,positive,"@darngeek all device build 14 tomorrow or official (WP,android,IOS) ? Hehe :P yay happy day for you ..."
641021806061621248,neutral,@_tomcc so the 12.0 for IOS will be out tomorrow correct??
641105483122798592,positive,Tech: Android&gt;Star Wars: Uprising launches September 10 on iOS and Android - GB: Star Wars canon is about t..http://t.co/oiTvPxGfby #mobile
641288798790418432,positive,@_tomcc hi I was wondering do u mean you'll try to release MCPE 0.12.1 to iOS tomorrow??? Ps your awesome
641393171008720896,neutral,Not Available
641433564836290560,positive,Check out my ride in #CSRRacing for iOS! Try it for FREE! http://t.co/BvKgJ02yP8 now car http://t.co/PLHShHhLA0
641438788472991744,neutral,Apple releases what the next iPhones and IOS will be like tomorrow
641441832291934208,positive,You can download 0.12.0 for iOS and the show or server won't work until tomorrow be happy and SMILE MORE =)
641482982688075776,positive,"Those of you with iOS devices, ask Siri to ""give you a hint"" about tomorrow's Apple keynote. http://t.co/pfQkdUDchQ"
641485888673812480,positive,I don't operate any iOS devices anymore but I'll still tune into the big show tomorrow. Still fun to watch the event and see what's what.
641488560437260288,neutral,@pedstrom Not sure what you mean. Continuity doesn't require a separate 3rd device (Watch) for two (other) iOS devices to pair and share.
641494998010200064,negative,ok inbox on iOS has a pretty animation for the sun but thew android version doesnt :(
641542106306101248,neutral,@AGPlaya the only time i would say i really enjoyed IOS was fifa 14 before i got my console in may soon as i got that i stopped playing it
641632558996811776,positive,"Wanna watch the iPhone announcement... LIVE? With any iOS device (Safari Browser)... watch here, starting 10 AM PST: http://t.co/ty3GDrguxn"
641642814632124416,positive,"ATTN: Beginning Oct 1st, Munzee 3.0 will be the only app available for iOS and Android. Also, 3.0.1 is in review and includes bug fixes."
641653401877618688,positive,Did you know that we are launching @eccgames's Tower Dwellers Gold on Android tomorrow in tandem with iOS?  https://t.co/PIBCmp1bzd
641655091468963840,neutral,http://t.co/DeGqRngcwk: iOS Developer  TH-Bangkok: Market Rate:  http://t.co/DeGqRngcwk: My client is the larges... http://t.co/kYSJ5sThUE
641670426284945408,positive,"Like legit though, if it was running OS X, it would be a sick product. But since it's running IOS you may as well get a retina 13"""
641323950056841216,positive,Join the MOVable Challenge! Get your MOVband at Spirit Fest tomorrow or Thursday and move one step closer to an iPad! http://t.co/QEv1anI83s
641328263822999555,positive,"tomorrow is another big day in the tech world! I'm guessing a new upgraded  iPhone, iPad, and possibly new OS! http://t.co/ro5a6NIgAa"
641328586276925440,negative,Lost my iPad for the 2nd time today
641333614945378304,neutral,Not Available
641336034672922625,positive,Woods Club! @CHSWoodsClub Come to room 175 after school next tuesday to make iPad Stands! http://t.co/U0aqa81PWW
641341629689786369,neutral,A survey question ahead of tomorrow's announcements: What's the right price for an 12.9-inch iPad w stylus and keyboard cover??
641342629074984960,positive,"Really excited about Apple Announcing iPad Pro tomorrow. Ah, the rumor I've been wanting to be true for years. It... http://t.co/BNFovY0ZBZ"
641345456740503553,positive,So excited to see what #Apple announces! My wish - a huge iPad that I can draw on with a stylus http://t.co/FeTK7rajmb @WIRED #tech
641349256020815872,neutral,Apple might want to give devs a little info on iPad Pro before dropping it and iOS 9.1 on the market in November. ht: @apollozac
641351041884164097,positive,Sat next to a woman on the plane today who flipped through photos of her cat on her iPad the whole time. #spiritanimal
641351360965832705,positive,Tomorrow the day Apple reveals a new iPhone &amp; iPad #SoAnxious I want both items ASAP!
641352166305693696,positive,"Prediction for tomorrow: iPhone 6c, 6s and 6s+; a 12"" iPad and a new Apple TV with touchscreen controller. #applegenius #stillnojobthough"
641357966315139073,positive,"Rumor is that Apple's big announcement tomorrow is a giant iPad. Please, God -- please let them call it the MaxiPad! #AppleEvent #Apple"
641366721287204864,positive,"Tomorrow: Capturing Covent Garden with iPhone and iPad 9 September, 10:30am, Apple Store, Covent Garden. #Free http://t.co/HLqZo2ff8G"
641376359034568704,negative,"I'm at my follow limit. Rude. I will go on my iPad tomorrow and unfollow all the little bitches who ain't following back. K, bye."
641378641339940864,positive,Wouldn't be surprised if the new iPhone unveiled tomorrow is actually an iPad mini
641383082923196416,positive,@coorz00 thanks tea sounds good but gotta update the iPad 1st
641384489860526080,positive,Not Available
641392431653453824,positive,I hope they announce something different and exciting for the iPad tomorrow. It's just about time for me to get a new one #AppleEvent
641393122216423424,positive,"Reading @daringfireball's prelude to tomorrow's Apple event, can't help but think @gruber is the new WSJ, Bloomberg, or NYT re: iPad news."
641402358564548608,positive,Traded in the new computer to get an iPad. Uncle tells me new iPad will be announced tomorrow so prices should drop. http://t.co/3Xgg14mX62
641403638267535360,positive,"Apple's Keynote is happening tomorrow at 3am!With the expected announcement of the iPhone 6S, new Apple TV and iPad who is waking up for it?"
641404618094723072,neutral,Not Available
641406276879187969,positive,The only thing I'm looking forward to tomorrow is the new iPhone and iPad Pro
641408450463817728,neutral,what she gonna buy with $200? 1/4th of an ipad  https://t.co/SL79vF03CE
641411462121058304,positive,I hope I get my iPad tomorrow so I can stream the Apple Keynote Address in school
641413378976518144,positive,Not Available
641414401426223104,positive,"Does it really have iPad pro &amp; stylus, tomorrow will have answer!!!"
641416176304680960,neutral,@Dennisd1971 if you are using an iPhone or iPad you may not be able to view it their youtube app.  Try on your computer.
641417400110354432,neutral,"Tomorrow, #Apple better introduce an iPad large enough for me to stand on, with an app that'll transport me wherever I want to go. If not..."
641418673014620160,positive,"But with a new iPad coming out, I may be able to snag an older iPad at a decent price."
641419174363930624,positive,First day of school tomorrow which means it's also the first day of the season for RBI baseball on my iPad
641423309318582272,negative,"are yall really mad that he's paying $200 to fix a broken iPad, don't yall have bigger problems to deal with  https://t.co/bDigQfbZOd"
641424370942939136,positive,And Apple goes gesture controlled gaming with Apple TV. Will the phone and iPad upgrades impress?  https://t.co/nAwH8kht9B
641424651495698432,positive,"#Apple to unveil iPhone 6s, iPad today. For the first time they are releasing on Wednesday. All their earlier releases were on a Tuesday."
641425847791042560,negative,When you have 3 1/2 tests tomorrow and a lab to do but your iPad is dead so you can't do shit :):):):):):)
641430507683606528,negative,Highly doubt that iPad will be covered during the #AppleEvent tomorrow. https://t.co/qndgNTztqa
641432777615933440,positive,"So tomorrow is the big Apple event. What do you think we'll see, iPad Pro? An iPad Stylus? Curious to see what they bring."
641435029617442817,neutral,Not Available
641436035013038080,neutral,"Checks 2.0 will not be submitted tomorrow, but I'll end up taking the extra time for a watch app, NC widget, iPad optimization, etc."
641436513390080000,positive,@LOHANTHONY my moms taking my iPad away tomorrow but it's worth it because I'm tweeting the KWEENT #ANTHONYCHAT
641436882128248832,positive,"Which is more interesting unveil tomorrow? $AAPL 6s, Ipad, TV or $TM new Prius? I'm going with Prius."
641442231409242112,positive,"To prepare for the #AppleEvent tomorrow I am reminiscing over legacy apple hardware including iPod 2nd Gen, iPhone 4, iPad 2. Get Pumped!"
641444286341365760,positive,"Sundays vlog is processing, Monday's is exporting... You know for having to do it all on a iPad is say I'm doing pretty good."
641445586445537281,positive,@film_girl I'd buy the next iPad if they had Fassbender give the keynote tomorrow.
641447893677817857,positive,I believe the new Twitter update comes in time before tomorrow event. Might be seeing deeper integration with iPad Pro? SplitScreen!? #iOS
641447913525276672,positive,"Tomorrow, Apple Inc. will introduce the 6S, a new Apple TV and the iPad Pro."
641451096427266048,negative,Accidentally left iPad sitting in the sun too long. Had to stash her in the freezer to cool down #whoops #straya
641457212754280448,positive,Not Available
641460027002355712,neutral,"@Qantas hi, i've trying to contact quantas bu phone with no success since last thursday...i left an ipad in a plane, could you help me?"
641479328216150016,negative,My dad just dramatically got upset at me for no reason but I was getting an iPad tomorrow so now what
641480750265602050,positive,@pierce hahah. Excited for your live blog tomorrow. I know the rumors are strong but I remain dubious about the iPad pro being announced
641483234996436992,neutral,@Celeste_pewter I can't tell if it is working on my blog I will have to check tomorrow on the computer. I was using my iPad.
641493880555347968,positive,Why spec Noritz? We want to know! Submit a vid before Oct 31 explaining why &amp; you could win an iPad! http://t.co/QNPOTCjrK1 #NoritzPro
641501437675986944,neutral,I still doubt Apple will announce new iPad at tomorrow's event. Apple might dedicate most of the keynote on new Apple TV.
641501884243689472,positive,"@KimCummms I see. I hope it will survive. If not, you only have new when things break. Apple may announce a big size iPad tomorrow"
641510515974365185,negative,"ok so i want to cry like, my expected delivery date for my ipad is thursday which is AFTER i leave like this is the absolute worst"
641511906897883136,neutral,Uniting until yours postexistence bandeau it may be take effect actuary out the ipad onwards from desktop verge...
641515406319071232,positive,"#Apple is expected to unveil 2 iPhones, an Apple TV &amp; a larger iPad. Watch the live stream tonight at 7pm here http://t.co/QwoJ0yway0 #tech"
641524008987566080,neutral,"Should you upgrade from #Adobe #CS6 Suite? CS6 came out before the 1st iPad mini was released, in the same month Facebook bought Instagram!"
641526339636457472,neutral,"@daringfireball if Apple wants to sell me an iPad, they'd better announce it tomorrow"
641528223457746944,neutral,"#Apple to show the #iPhone6S, updates to the iPad, Apple TV and other products today http://t.co/2fSV8hScJa"
641539550104281088,neutral,1st u knew dat there wud b a lot of ppl chasing after harry so y'd u bring ur ipad w/ u U couldve just used ur phone https://t.co/5MSumtur1K
641539752177586176,negative,And 2nd it wasnt harrys fault that he had ran over your ipad so whyd you ask him to pay for the crack like wtf https://t.co/5MSumtM2qk
641560030945259520,neutral,Literally anxious abt the iPad pro announcement today. You gonna disappoint again Apple or is it srsly the 2nd last product I'll need from u
641560327159726080,positive,If your pupils can use an iPad better than you can then this course may well be ideal for you - http://t.co/8innWbrMqY
641562858245918720,positive,Not Available
641565807810617344,neutral,1st he smashed someone's phone now ran over an iPad he hates you all https://t.co/Vxn34DDrk6
641574514619514880,positive,"Also, the iPhone 6S, 6S Plus and the new iPad will be coming out tomorrow morning! Will be checking out the highlights."
641579580176732160,neutral,@darebeark @alyaeldeeb12345 my memory  doesnt have more space. So i cant download it :( but i'll try to download it tomorrow from iPad
641584057386704896,neutral,@garrettc Do you think it knows that in a couple of hours it may be one step closer to obsolescence (and outpaced by a giant iPad at that)
641584758204575744,positive,Not Available
641585407252123648,positive,Not Available
641592893841481728,negative,Pausing on this day of my 31st year to yell at my ipad because pandora refuses to play the Carpenters' Superstar.
641595961068900352,positive,Giant iPad anyone? Don't forget to check out the Apple Event at 1pm EST. #apple #charlotte http://t.co/uOVQhibSJ2 http://t.co/GVhKOJPUIJ
641597241141129217,neutral,Just $6.99 for the Hebrew Crash Course by Friday. Get Survival Phrases for the iPad or Mac: https://t.co/O4YGQFgtaa http://t.co/NczpkYotRo
641602592401821697,positive,"iPad Pro, Apple TV expected to take center stage Wednesday: It's that time of the year. For five years, Apple ... http://t.co/eHpn3KzylM"
641603220977131520,neutral,Top 5 Gambling Apps for the iPad http://t.co/2JbwPxRzY8
641604722043039745,positive,Can't wait to see the iPad Plus .... #Apple #AppleEvent #TimCook  https://t.co/qiR5JjDdjp
641608296160448512,neutral,The Accounting Career Fair is this Friday! Be sure to engage with us by using #kubusfair--you might win an iPad mini!
641610320293695489,positive,"New iPhones, iPad Pro, and Apple TV on the way today at 10 A.M. (PDT)! #AppleEvent http://t.co/WLFT7hrxH8"
641618110835888129,neutral,"I wanna go find the iPad so I can watch videos and train muh pokeymanz, rip iPod D:  tomorrow marks two weeks"
641618508028248064,positive,Is that I am very excited to share on Instagram brings their app to iPad and redesigns the iWatch in November.
641621458293276672,neutral,wait...I may reconsider my decision to get surface pro 4 if ipad pro comes with a stylus with pressure sensitivity
641625805508841472,positive,#castleberryisd 5th grade iPad Deployment going well! Students are excited! http://t.co/hcPY5IR8ZM
641629037337559040,neutral,@mmmhotbreakfast @mickmolloy I can't stop hope the iPad goes flat I gotta work tomorrow. GO TIGES GO TIGES GO TIGES GO TIGES GO TIGES..
641630235050405888,positive,Happy Apple Fanboy Day! May the iPad be with you.
641633293729943552,positive,It was fun to see the excitement on the 6th graders' faces. And some of them seem to be iPad pros already! https://t.co/YnZtTTyg4W
641634655310086144,positive,1st gen iPad mini still going strong. Love that little guy.
641635160526594048,positive,"Looking forward to the #AppleEvent today. It will make for interesting 4th Quarter results w/ an upgrade to the iPhone, iPad, and Apple TV"
641638054655082496,neutral,Does he mean a tv or a giant iPad?  https://t.co/oITONF1nPq
641638185773039618,negative,Did he just spoil the iPad Pro?  https://t.co/4wQWl5RhA5
641639304075329537,positive,Here comes the new Apple TV! And the iPad Pro. https://t.co/mItEONUDl4
641642101936013312,negative,"@HARD8TIMES @BrokenGamezHD @BLACKB0ND @iamironwolf whys he flossin an iPhone 3G, original iPad an 5th gen MacBook like he got money lmao"
641646335133790209,positive,@MarkVonVegas It's the best. I can't wait to christen my new patio on September 26 with some coffee and RedZone on ipad.
641649546557304832,positive,Who is ready for the iPad Pro? Today may be the day...
641651311746744320,positive,Did you know you can split the keyboard on your iPad? I didn't. Here are some Ninja tricks for the iPad you may... http://t.co/RpzAoPo5vR
641655372260974592,positive,Not Available
641656919627821057,neutral,"iPhone, iPad, or iPod touch, Mac with Safari, PC with Microsoft Edge on Windows 10 http://t.co/KbT0XSs0WC #AppleEvent"
641494197862801408,negative,Not Available
641495623708069888,positive,Not Available
641496057969377280,neutral,Not Available
641496447460986880,positive,"iPhone event recap video tonight, then Transloader for Mac app review on Saturday. Cool content coming up! :)"
641497055098114048,positive,"Golf with the dudes, no work, pool day, and the new iPhone announcement.. Tomorrow shall be a good day."
641497345381675008,neutral,When will the iPhone 6 price drop? Immediately after the sep 9th announcement or not? and how much will it drop?
641497711284518912,positive,"11 hours until Apple announces the iPhone 6S, here's what to expect: http://t.co/K1hTCDm6fI"
641499690362630144,positive,New iPhone announcement tonight. If I don't get one ordered tomorrow with @ThreeUK for my upgrade there will probably be tears.
641501633952673792,positive,Not Available
641501728064466945,positive,Who is as excited as I am about @APPLEOFFIClAL announcement tomorrow?  I haven't had a new iPhone since the 4S - I'm ready! #blogchat
641502415192068096,positive,The new iPhone is announced tomorrow. I already want it
641504800488620033,neutral,"If you bought an iPhone today, you lost. New ones get introduced tomorrow.                             Don't lose, win."
641508289814102017,positive,"The 'numeracy map' just fits into an iPhone, bringing it alive, digitally! Search the AppStore, 1st level free. http://t.co/8HxVKGu8WI"
641509708747010048,neutral,The new iPhone will be announced tonight at 1AM (10th Sept). Here's how to watch it live http://t.co/aFRlZFTPc5 http://t.co/JIhzZ3paAA
641509725226553344,neutral,"While all eyes may be on the new iPhone today, this Apple product will be the most disruptive http://t.co/WIZnjgwOQn http://t.co/x8LHcVGju8"
641511919778574337,positive,"Apple is hosting its annual splash on Wednesday to unveil a new version of its best product, the iPhone #Africapkenya http://t.co/hL17VGWRnL"
641512927225208832,positive,I'm so excited for the new iphone release tomorrow yas.
641515507892400129,neutral,Apple will be hosting its next iPhone reveal event on September 9 at 9AM PST. You can watch a live stream of the event at GameSpot's ...
641516638630715392,neutral,"Today's the 9th? We've got some apple news coming, I just want to get on with it &amp; upgrade my iPhone."
641516726878777344,positive,Ready for the Keynote tomorrow. Is iPhone the right choice for me!? Next time on Dragon Ball Z
641517448831700992,neutral,Alex Gibney explains why his Steve Jobs documentary may cause you to put down your iPhone for good (via @Pocket) http://t.co/98tFA0lX2C
641518004707192832,positive,"Started the day listening to @theweeknd, new iPhone reveal later and the #NFL is back tomorrow. Happy hump day!"
641518025825320960,positive,Not Available
641519726817071104,neutral,"Today my doctor diagnosed me with a repetitive strain injury known as ""iPhone thumb"". May my social media use be a cautionary tale to all."
641521527461163008,positive,"Today Sept 9th Apple announces details on how iPhone will work with #Adblockers, #onlineadvertisers in the future."
641526144458559488,positive,Beyond excited for the Apple Event tomorrow. Mostly for new Apple Watch bands as I'll be trying not to get the new iPhone.
641529318703697920,positive,"New IPhone, it's a relegious day. https://t.co/ug29uE6zy1"
641536674015477760,neutral,"Today's iPhone 6S event: Start time, where to watch the live blog and how to stream http://t.co/TZUjjgbA5c"
641537637887508480,neutral,"@talk2GLOBE hi, may i ask what are the requirements needed for the iphone 5s under plan 999?"
641545859285434368,negative,If this new iPhone sounds like it'll suck after tomorrow's announcement then the joke's on me for saving up to get it.
641550287887470592,neutral,Trading Street: iPhone Change May Be How You'll Pay: Apple's biggest update to the iPhone may be how most cons... http://t.co/frOUvoV8nC
641550948389654528,positive,"I love Apple, despite the fact that I'm constantly dissing the iPhone. Really looking forward to tomorrow's event."
641556474221625345,positive,"iPhone 6s: Everything you need to know!: Apple's event of the year, which is being held on September 9, has ma... http://t.co/LrIJS2reRb"
641556609580335104,neutral,Not Available
641561004669829120,positive,"""Apple is expected to announce the iPhone 6S at 1PM tomorrow.""  Translation: At 1:00 PM tomorrow, the Internet will lose its shit."
641561322929393664,neutral,"With Apple expected to announce details of a new iPhone today, the timing may be right to sell your old smartphone. http://t.co/sQWHRSopJT"
641565117146988544,neutral,Prediction: I will have a status saying that I'll be buying the new iPhone by tomorrow morning. I've done that... http://t.co/bBoCXousDy
641565551504945152,neutral,Not Available
641565597185232897,neutral,@martinlmnt like what else can they offer honestly? I may just get another iPhone because I'm used to the OS
641566462407274496,negative,@truthhonk @sayhup I dropped my iPhone in the beer cooler on the beach yesterday so I gotta get a new one tomorrow
641567750842937344,positive,Christmas in September! Apple's keynote on the upcoming iPhone is today at 10am Pacific!
641568990779670528,positive,All the latest Sheffield Wednesday news on iPhone and iPad! http://t.co/G9Z3VUGWuH #SWFC
641572751099174912,positive,Analyst suggests this may be the last big iPhone launch - with @jeremycontext http://t.co/vBPQ4CZRE6 via @pcr_online #AppleEvent
641578941031911428,positive,Tech Tuesday: Apple launches new iPhone with 'Force Touch' http://t.co/jRUi50Nt7J #newiphone
641581532709285889,positive,"@TechJohnson I can't wait. I need a new phone! And since #Samsung has abandoned the UK market, I'll be ordering an iPhone this Friday"
641581548349865984,positive,"If Apple is upgrading the camera on the iPhone 6s models, I seriously may upgrade...&amp; my phone isn't even 1yr old yet! #photographyproblems."
641584856976203776,positive,"In Wednesday's #FirstFT - long reign the Queen, iPhone unveiling and more. Sign up at http://t.co/gDolGlrSv5 http://t.co/SIBupoDQu4"
641586267306786816,positive,@YMDgento it's gonna at least be a new iPhone event.  It's that time of year ago. The next iPhone comes out on/or around Sept 18th.
641586648472489986,positive,Will I be getting a new iPhone this year? No. But my two older kids will. So I'm kind of curious about today. http://t.co/8BESuqrn0S
641589045643055104,positive,So yeah.. back to the iEvent today. If Apple doesn't do low-cost iPhone 5C replacement model aka 6C then we may see peak iPhone within 12 mo
